Street Address,Unit #,Latitude,Longitude,Sold Price ($),Sold Date,SqFt,Price/SqFt ($),Property Type,Beds,Baths,Distance (mi),URL
2200 Market St APT 305,Apt 305,37.765774,-122.43162,1400000.0,2025-03-28,1170.0,1196.58,CONDO,2.0,2.0,0.26,https://www.zillow.com/homedetails/2200-Market-St-APT-305-San-Francisco-CA-94114/124397690_zpid/
16 Henry St,,37.766945,-122.431786,1650000.0,2025-12-22,1048.0,1574.43,CONDO,2.0,1.0,0.26,https://www.zillow.com/homedetails/16-Henry-St-San-Francisco-CA-94114/184746183_zpid/
457-461 Guerrero St,,37.763786,-122.423676,1550000.0,2025-08-28,7325.0,211.6,MULTI_FAMILY,12.0,2.0,0.26,https://www.zillow.com/homedetails/457-461-Guerrero-St-San-Francisco-CA-94110/332859260_zpid/
2200 Market St APT 202,Apt 202,37.765774,-122.43162,840000.0,2025-05-20,847.0,991.74,CONDO,1.0,2.0,0.26,https://www.zillow.com/homedetails/2200-Market-St-APT-202-San-Francisco-CA-94114/124397860_zpid/
26 Church St,,37.769913,-122.42945,1150000.0,2025-07-17,2950.0,389.83,MULTI_FAMILY,3.0,4.0,0.27,https://www.zillow.com/homedetails/26-Church-St-San-Francisco-CA-94114/448803977_zpid/
3555 17th St,,37.762863,-122.425095,930000.0,2025-09-10,1107.0,840.11,CONDO,1.0,1.0,0.27,https://www.zillow.com/homedetails/3555-17th-St-San-Francisco-CA-94110/184817498_zpid/
31A Camp St,,37.763763,-122.423325,1100000.0,2025-11-05,946.0,1162.79,CONDO,2.0,1.0,0.28,https://www.zillow.com/homedetails/31A-Camp-St-San-Francisco-CA-94110/339475779_zpid/
31 Camp St #A,# A,37.763763,-122.423325,1100000.0,2025-11-05,1005.0,1094.53,CONDO,2.0,1.0,0.28,https://www.zillow.com/homedetails/31-Camp-St-A-San-Francisco-CA-94110/2068581703_zpid/
2238 Market St #307,# 307,37.765476,-122.43204,1350000.0,2025-11-25,1142.0,1182.14,CONDO,2.0,2.0,0.28,https://www.zillow.com/homedetails/2238-Market-St-307-San-Francisco-CA-94114/338980328_zpid/
2152 15th St,,37.766056,-122.432236,1515000.0,2026-01-02,1792.0,845.42,CONDO,2.0,2.0,0.29,https://www.zillow.com/homedetails/2152-15th-St-San-Francisco-CA-94114/303806472_zpid/
275 Hermann St,,37.7701,-122.42959,1239000.0,2025-04-14,1183.0,1047.34,CONDO,2.0,1.0,0.29,https://www.zillow.com/homedetails/275-Hermann-St-San-Francisco-CA-94117/61325092_zpid/
147 Albion St,,37.764088,-122.4227,1900000.0,2025-10-20,1655.0,1148.04,CONDO,3.0,3.0,0.29,https://www.zillow.com/homedetails/147-Albion-St-San-Francisco-CA-94110/184817489_zpid/
3749 17th St,,37.762733,-122.429596,2500000.0,2025-11-20,1765.0,1416.43,CONDO,3.0,2.0,0.3,https://www.zillow.com/homedetails/3749-17th-St-San-Francisco-CA-94114/456864403_zpid/
287 Hermann St,,37.770172,-122.4299,766000.0,2025-05-23,880.0,870.45,CONDO,1.0,1.0,0.3,https://www.zillow.com/homedetails/287-Hermann-St-San-Francisco-CA-94117/15079443_zpid/
